name,electric_pressure,electric_current,average_power,idle_power,apparent_power,power_factor,luminance
110,116.57,0.284,22,24.665791,33.105881,0.667,8
110,116.550003,0.284,21,25.515745,33.100201,0.637,8
110,116.5,0.284,21,25.504801,33.085999,0.637,8
110,116.480003,0.284,21,25.500422,33.080318,0.637,8
110,116.559998,0.284,21,25.517935,33.103039,0.637,8
110,116.529999,0.284,21,25.511368,33.094521,0.637,8
110,116.5,0.283,21,25.360361,32.969501,0.639,9
110,116.449997,0.283,21,25.349478,32.955349,0.639,8
110,116.5,0.283,21,25.360361,32.969501,0.639,8
110,116.519997,0.283,21,25.364716,32.975159,0.639,9
110,116.580002,0.283,21,25.377775,32.992142,0.639,9
110,116.559998,0.283,21,25.373423,32.986481,0.639,9
110,116.580002,0.283,21,25.377775,32.992142,0.639,9
110,116.57,0.283,21,25.375599,32.989311,0.639,9
110,116.599998,0.283,21,25.38213,32.997799,0.639,9
110,116.540001,0.283,21,25.369068,32.98082,0.639,9
110,116.529999,0.283,21,25.366892,32.977989,0.639,9
110,116.470001,0.283,21,25.35383,32.96101,0.639,9
110,116.489998,0.283,21,25.358185,32.966671,0.639,9
110,116.239998,0.282,21,25.132334,32.779678,0.642,9
110,116.32,0.282,21,25.14963,32.802238,0.642,9
110,116.529999,0.281,21,25.050707,32.74493,0.644,9
110,116.519997,0.281,21,25.048555,32.742119,0.644,10
110,116.529999,0.28,21,24.906479,32.628399,0.646,9
110,116.510002,0.28,21,24.902205,32.622799,0.646,9
110,116.550003,0.28,21,24.910753,32.633999,0.646,9
110,116.510002,0.279,21,24.758102,32.50629,0.648,9
110,116.519997,0.279,21,24.760227,32.509079,0.648,9
110,116.629997,0.279,21,24.783602,32.539768,0.648,9
110,116.620003,0.279,21,24.781475,32.53698,0.648,9
110,116.559998,0.279,21,24.768726,32.520241,0.648,9
110,116.57,0.278,21,24.599022,32.40646,0.651,9
110,116.589996,0.277,21,24.4592,32.295429,0.653,9
110,116.540001,0.277,21,24.448709,32.281582,0.653,9
110,116.589996,0.277,21,24.4592,32.295429,0.653,9
110,116.540001,0.277,21,24.448709,32.281582,0.653,9
110,116.599998,0.277,21,24.461296,32.298199,0.653,9
110,116.559998,0.277,21,24.452906,32.287121,0.653,9
110,116.57,0.277,21,24.455004,32.28989,0.653,9
110,116.550003,0.277,21,24.450808,32.284351,0.653,9
110,116.599998,0.278,21,24.605352,32.414799,0.651,9
110,116.660004,0.277,21,24.473885,32.314819,0.653,10
110,116.709999,0.278,21,24.628565,32.445381,0.651,9
110,116.529999,0.278,21,24.590582,32.39534,0.651,9
110,116.489998,0.278,21,24.58214,32.38422,0.651,9
110,116.589996,0.278,21,24.603243,32.412022,0.651,9
110,116.480003,0.278,21,24.58003,32.381439,0.651,9
110,116.419998,0.277,21,24.423534,32.248341,0.653,10
110,116.459999,0.277,21,24.431927,32.259418,0.653,9
110,116.400002,0.276,21,24.247749,32.1264,0.656,9
110,116.379997,0.276,21,24.243584,32.12088,0.656,9
110,116.449997,0.275,21,24.114458,32.02375,0.658,9
110,116.599998,0.275,21,24.145519,32.064999,0.658,9
110,116.620003,0.275,21,24.14966,32.070499,0.658,9
110,116.68,0.275,21,24.162086,32.087002,0.658,9
110,116.599998,0.275,21,24.145519,32.064999,0.658,9
110,116.540001,0.275,21,24.133095,32.0485,0.658,9
110,116.580002,0.275,21,24.141378,32.059502,0.658,9
110,116.639999,0.274,21,24.009968,31.95936,0.66,10
110,116.660004,0.274,21,24.014086,31.96484,0.66,9
110,116.709999,0.274,21,24.024378,31.97854,0.66,9
110,116.639999,0.273,21,23.838078,31.84272,0.663,9
110,116.620003,0.274,21,24.005852,31.95388,0.66,9
110,116.650002,0.274,21,24.012026,31.962099,0.66,9
110,116.639999,0.274,21,24.009968,31.95936,0.66,9
110,116.660004,0.274,21,24.014086,31.96484,0.66,10
110,116.540001,0.274,21,23.989384,31.931959,0.66,9
110,116.5,0.274,21,23.98115,31.921,0.66,9
110,116.489998,0.275,21,24.122742,32.034752,0.658,9
110,116.529999,0.275,21,24.131023,32.04575,0.658,9
110,116.459999,0.274,21,23.972916,31.91004,0.66,9
110,116.459999,0.274,21,23.972916,31.91004,0.66,9
110,116.459999,0.274,21,23.972916,31.91004,0.66,9
110,116.470001,0.274,21,23.974974,31.912781,0.66,9
110,116.550003,0.273,21,23.819683,31.81815,0.663,9
110,116.610001,0.274,21,24.003792,31.951139,0.66,9
110,116.599998,0.274,21,24.001734,31.9484,0.66,9
110,116.610001,0.274,21,24.003792,31.951139,0.66,9
110,116.559998,0.274,21,23.9935,31.937441,0.66,9
110,116.559998,0.274,21,23.9935,31.937441,0.66,9
110,116.660004,0.274,21,24.014086,31.96484,0.66,9
110,116.669998,0.274,21,24.016144,31.967581,0.66,9
110,116.720001,0.273,20,24.719978,31.864559,0.631,9
110,116.599998,0.273,20,24.694565,31.8318,0.631,10
110,116.589996,0.273,20,24.692446,31.829069,0.631,9
110,116.599998,0.273,20,24.694565,31.8318,0.631,9
110,116.519997,0.273,20,24.677622,31.809959,0.631,9
110,116.540001,0.273,20,24.681856,31.81542,0.631,9
110,116.57,0.274,20,24.830465,31.94018,0.629,9
110,116.57,0.274,21,23.995558,31.94018,0.66,9
110,116.559998,0.274,21,23.9935,31.937441,0.66,10
110,116.68,0.274,21,24.018202,31.97032,0.66,9
110,116.629997,0.274,21,24.00791,31.956619,0.66,9
110,116.620003,0.274,21,24.005852,31.95388,0.66,9
110,116.629997,0.274,21,24.00791,31.956619,0.66,9
110,116.57,0.275,21,24.139307,32.056751,0.658,10
110,116.550003,0.274,21,23.991442,31.9347,0.66,9
110,116.540001,0.274,21,23.989384,31.931959,0.66,9
110,116.699997,0.274,21,24.02232,31.9758,0.66,9
110,116.739998,0.273,21,23.858515,31.87002,0.663,9
110,116.68,0.273,21,23.846252,31.85364,0.663,9
110,116.660004,0.274,21,24.014086,31.96484,0.66,9
110,116.669998,0.274,21,24.016144,31.967581,0.66,9
110,116.660004,0.273,21,23.842165,31.848181,0.663,9
110,116.629997,0.273,21,23.836035,31.839991,0.663,10
110,116.529999,0.273,21,23.815598,31.812691,0.663,9
110,116.690002,0.274,21,24.02026,31.973061,0.66,9
110,116.75,0.274,21,24.032612,31.9895,0.66,9
110,116.480003,0.274,21,23.977032,31.91552,0.66,9
110,116.739998,0.275,21,24.174511,32.1035,0.658,9
110,116.690002,0.275,21,24.164158,32.089748,0.658,9
110,116.610001,0.275,21,24.147591,32.067749,0.658,10
110,116.669998,0.276,21,24.303995,32.20092,0.656,9
110,116.639999,0.276,21,24.297747,32.192638,0.656,9
110,116.440002,0.276,21,24.256083,32.13744,0.656,9
110,116.519997,0.277,21,24.444513,32.276039,0.653,9
110,116.510002,0.278,21,24.586361,32.389778,0.651,9
110,116.440002,0.278,21,24.571589,32.370319,0.651,9
110,116.480003,0.278,21,24.58003,32.381439,0.651,10
110,116.510002,0.279,21,24.758102,32.50629,0.648,10
110,116.489998,0.279,21,24.753853,32.50071,0.648,10
110,116.550003,0.279,21,24.766602,32.517448,0.648,9
110,116.550003,0.279,21,24.766602,32.517448,0.648,9
110,116.610001,0.279,21,24.77935,32.534191,0.648,9
110,116.519997,0.279,21,24.760227,32.509079,0.648,9
110,116.349998,0.279,21,24.724102,32.461651,0.648,9
110,116.389999,0.279,21,24.732601,32.472809,0.648,9
110,116.330002,0.279,21,24.719852,32.45607,0.648,9
110,116.339996,0.278,21,24.550488,32.342522,0.651,9
110,116.360001,0.278,21,24.554707,32.34808,0.651,9
110,116.489998,0.278,21,24.58214,32.38422,0.651,9
110,116.510002,0.278,21,24.586361,32.389778,0.651,9
110,116.470001,0.278,21,24.577921,32.378658,0.651,9
110,116.449997,0.278,21,24.5737,32.3731,0.651,9
110,116.32,0.278,21,24.546267,32.33696,0.651,9
110,116.300003,0.278,21,24.542046,32.331402,0.651,9
110,116.269997,0.278,21,24.535715,32.323059,0.651,9
110,116.330002,0.278,21,24.548376,32.339741,0.651,9
110,116.349998,0.278,21,24.552597,32.345299,0.651,9
110,116.339996,0.279,21,24.721977,32.458858,0.648,9
110,116.360001,0.279,21,24.726227,32.464439,0.648,9
110,116.360001,0.279,21,24.726227,32.464439,0.648,9
110,116.32,0.28,21,24.861593,32.569599,0.646,9
110,116.410004,0.28,21,24.880831,32.594799,0.646,9
110,116.43,0.28,21,24.885105,32.600399,0.646,9
110,116.419998,0.28,21,24.882969,32.597599,0.646,9
110,116.470001,0.281,21,25.037807,32.728069,0.644,9
110,116.379997,0.281,21,25.018459,32.702782,0.644,9
110,116.379997,0.281,21,25.018459,32.702782,0.644,9
110,116.410004,0.281,21,25.024908,32.711208,0.644,9
110,116.519997,0.281,21,25.048555,32.742119,0.644,9
110,116.589996,0.281,21,25.063604,32.761791,0.644,9
110,116.540001,0.282,21,25.197195,32.864281,0.642,10
110,116.68,0.282,21,25.227465,32.903759,0.642,9
110,116.699997,0.282,21,25.231791,32.909401,0.642,10
110,116.650002,0.282,21,25.22098,32.895302,0.642,9
110,116.639999,0.282,21,25.218817,32.892479,0.642,9
110,116.610001,0.281,21,25.067904,32.76741,0.644,9
110,116.550003,0.28,21,24.910753,32.633999,0.646,9
110,116.43,0.279,21,24.741102,32.483971,0.648,9
110,116.470001,0.278,21,24.577921,32.378658,0.651,9
110,116.480003,0.278,21,24.58003,32.381439,0.651,9
110,116.559998,0.277,21,24.452906,32.287121,0.653,9
110,116.529999,0.277,21,24.446611,32.278809,0.653,9
110,116.629997,0.276,21,24.295662,32.18988,0.656,9
110,116.68,0.275,21,24.162086,32.087002,0.658,9
110,116.790001,0.276,21,24.328993,32.234039,0.656,9
110,116.550003,0.276,21,24.278997,32.167801,0.656,9
110,116.75,0.276,21,24.32066,32.223,0.656,9
110,116.779999,0.277,21,24.49906,32.348061,0.653,9
110,116.769997,0.277,21,24.496962,32.345291,0.653,9
110,116.790001,0.278,21,24.645447,32.467621,0.651,10
110,116.690002,0.279,21,24.79635,32.556511,0.648,9
110,116.730003,0.279,21,24.804852,32.567669,0.648,9
110,116.660004,0.278,21,24.618013,32.43148,0.651,9
110,116.650002,0.278,21,24.615904,32.428699,0.651,9
110,116.160004,0.278,21,24.512503,32.29248,0.651,9
110,116.5,0.278,21,24.584249,32.387001,0.651,9
110,116.57,0.277,21,24.455004,32.28989,0.653,9
110,116.57,0.277,21,24.455004,32.28989,0.653,9
110,116.559998,0.276,21,24.28108,32.170559,0.656,9
110,116.449997,0.277,21,24.429829,32.256649,0.653,9
110,116.57,0.277,21,24.455004,32.28989,0.653,10
110,116.559998,0.277,21,24.452906,32.287121,0.653,9
